#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
Dependent_10_100,2453,56724,394,8328
Dependent_10_1000,139702,107748,397488,1520332
Dependent_10_120,2170,62924,638,9428
Dependent_10_140,930,61464,1037,11064
Dependent_10_160,1136,68592,1595,13244
Dependent_10_180,1290,70784,2201,15656
Dependent_10_200,1666,70824,3015,20984
Dependent_10_220,1829,71320,4194,23652
Dependent_10_240,2567,70960,5212,26068
Dependent_10_260,3036,73232,6733,30196
Dependent_10_280,3101,75112,8355,40828
Dependent_10_300,3823,73232,10168,48328
Dependent_10_320,4787,75144,12077,57856
Dependent_10_340,5211,74800,14887,73312
Dependent_10_360,6461,75088,17615,84460
Dependent_10_380,7742,75196,20479,103528
Dependent_10_400,8358,77460,25245,119312
Dependent_10_420,10014,77412,28015,138480
Dependent_10_440,11868,77260,32406,160620
Dependent_10_460,13124,77440,37278,184176
Dependent_10_480,14926,81332,41808,204840
Dependent_10_500,17386,79316,48673,235984
Dependent_10_520,18390,81412,54905,261356
Dependent_10_540,21286,79824,60916,289712
Dependent_10_560,24256,79732,67234,326848
Dependent_10_580,25567,81704,77607,357228
Dependent_10_600,29263,81768,83691,390424
Dependent_10_620,33057,83680,96041,433828
Dependent_10_640,34863,82812,102924,469236
Dependent_10_660,39734,82584,113278,507280
Dependent_10_680,44050,84588,122417,556996
Dependent_10_700,46691,82620,131504,600864
Dependent_10_720,51773,84760,143359,643956
Dependent_10_740,57172,86912,155746,697104
Dependent_10_760,59999,88988,169754,746216
Dependent_10_780,66101,88812,183018,794548
Dependent_10_800,72753,90852,197123,857456
Dependent_10_820,75511,93316,225598,912080
Dependent_10_840,83488,93132,238777,965684
Dependent_10_860,91049,93256,250620,1035328
Dependent_10_880,94621,97464,271908,1095576
Dependent_10_900,103181,98992,302927,1154500
Dependent_10_920,112941,99064,308738,1231112
Dependent_10_940,116024,99280,339799,1297124
Dependent_10_960,125537,99392,352580,1361632
Dependent_10_980,135785,103564,375696,1445368
