#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
Dependent_100_200,2348,62804,2896,20984
Dependent_110_220,700,64928,3915,23444
Dependent_120_240,447,62372,4965,26068
Dependent_130_260,502,64264,6397,29676
Dependent_140_280,595,64292,8120,39228
Dependent_150_300,689,71444,9774,46300
Dependent_160_320,746,74960,11941,54660
Dependent_170_340,1513,75280,14606,70992
Dependent_180_360,1641,71320,16714,81168
Dependent_190_380,1816,75136,19693,98408
Dependent_200_400,1434,77480,24580,114376
Dependent_210_420,2107,73432,27255,129784
Dependent_220_440,2289,77476,31174,153532
Dependent_230_460,2430,77420,36182,174312
Dependent_240_480,2788,75520,40334,197208
Dependent_250_500,2885,75360,47926,223448
Dependent_260_520,2852,79640,53899,252424
Dependent_270_540,2931,77640,59222,279840
Dependent_280_560,3707,79288,62816,311772
Dependent_290_580,3975,79520,71973,345908
Dependent_300_600,4344,81440,77459,374808
Dependent_310_620,4713,79704,87050,415804
Dependent_320_640,5024,79928,98268,455176
Dependent_330_660,5458,79968,105211,491900
Dependent_340_680,5873,79804,115305,535784
Dependent_350_700,6240,80000,126868,580692
Dependent_360_720,6592,77404,138476,622264
Dependent_370_740,7312,82092,149017,675292
Dependent_380_760,7645,82048,163237,725628
Dependent_390_780,8299,81912,175106,769108
Dependent_400_800,8801,83544,197075,828640
Dependent_410_820,9438,81828,213861,884672
Dependent_420_840,9838,82020,226078,936284
Dependent_430_860,10500,84632,240049,1002128
Dependent_440_880,11745,83816,264182,1063996
Dependent_450_900,11812,85072,277628,1120788
Dependent_460_920,12613,84992,293633,1193228
Dependent_470_940,13250,82924,316618,1260976
Dependent_480_960,14209,87084,338621,1323056
Dependent_490_980,15178,87172,357162,1402320
Dependent_500_1000,16201,84860,385461,1476120
Dependent_50_100,672,56328,382,8256
Dependent_60_120,138,56776,614,9360
Dependent_70_140,313,57148,993,11060
Dependent_80_160,367,61172,1504,12980
Dependent_90_180,302,61104,2047,15176
