#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
Disjoint_100,284,56088,14,6468
Disjoint_1000,56836,101000,149,9108
Disjoint_120,346,56484,14,6640
Disjoint_140,590,56852,17,6456
Disjoint_160,618,59652,16,6364
Disjoint_180,539,62060,16,6428
Disjoint_200,567,68900,19,6796
Disjoint_220,664,66792,21,6720
Disjoint_240,884,68904,21,6824
Disjoint_260,1254,68908,28,6972
Disjoint_280,1519,69144,25,7292
Disjoint_300,1705,69040,35,7140
Disjoint_320,1903,71164,31,7328
Disjoint_340,2162,71072,33,7464
Disjoint_360,2405,71076,39,7564
Disjoint_380,2782,71096,41,7616
Disjoint_400,3167,71316,45,7796
Disjoint_420,3428,71144,44,8104
Disjoint_440,3879,71864,44,8212
Disjoint_460,4406,72004,44,8132
Disjoint_480,4885,75688,46,8440
Disjoint_500,5650,74124,48,8548
Disjoint_520,6432,77948,53,8524
Disjoint_540,7214,76292,53,8840
Disjoint_560,8029,76216,56,8760
Disjoint_580,8842,78444,60,9080
Disjoint_600,9991,78336,60,9188
Disjoint_620,11099,82412,65,9108
Disjoint_640,12268,82180,90,9228
Disjoint_660,13655,84532,91,9336
Disjoint_680,15101,84632,108,9700
Disjoint_700,16590,84552,82,9612
Disjoint_720,18184,86612,87,9648
Disjoint_740,19891,86588,102,9820
Disjoint_760,21606,90708,98,9860
Disjoint_780,23717,90448,125,9992
Disjoint_800,26686,92964,99,10108
Disjoint_820,28382,90356,106,8296
Disjoint_840,32092,94852,108,8376
Disjoint_860,34532,93004,119,8428
Disjoint_880,38074,94760,120,8456
Disjoint_900,40063,97004,120,8516
Disjoint_920,43241,97144,121,8592
Disjoint_940,47726,104988,123,8644
Disjoint_960,50255,104724,132,8836
Disjoint_980,54172,101032,136,8836
