#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
Aarnet_1,533,49208,16,6424
Aarnet_2,308,57048,23,6584
Aarnet_3,893,68952,159,7096
Aarnet_4,2797,72024,819,9216
Abilene_1,208,34356,15,6096
Abilene_2,221,55864,16,6448
Abilene_3,447,59788,35,6440
Abilene_4,920,71112,207,7544
Abvt_1,243,45776,16,6096
Abvt_2,203,38428,10,6040
Abvt_3,231,55736,12,6364
Abvt_4,585,61524,36,6652
Aconet_1,165,55236,10,6428
Aconet_2,277,56220,25,6520
Aconet_3,638,68944,179,7180
Aconet_4,2928,74224,597,8688
Agis_1,431,26768,73,5984
Agis_2,417,37852,44,6048
Agis_3,507,56572,54,6700
Agis_4,430,56732,81,6584
Ai3_1,323,26336,33,6164
Ai3_2,286,37300,18,6120
Ai3_3,280,42460,19,6464
Ai3_4,431,59696,176,7276
Airtel_1,205,30308,11,6164
Airtel_2,205,54408,11,6428
Airtel_3,110,55884,45,6316
Airtel_4,1069,68920,188,7256
Amres_1,136,42936,48,6040
Amres_2,332,56416,16,6432
Amres_3,205,57264,55,6348
Amres_4,1292,71036,195,7464
Ans_1,151,55556,46,6356
Ans_2,334,56592,43,6576
Ans_3,1239,70868,124,6820
Ans_4,5517,78268,759,9200
Arn_1,242,37324,42,6104
Arn_2,311,55732,49,6456
Arn_3,664,69104,63,6904
Arn_4,1431,71076,232,7676
Arnes_1,326,44460,14,6116
Arnes_2,373,56184,17,6416
Arnes_3,739,66860,25,6528
Arnes_4,3100,74112,550,8740
Arpanet196912_1,803,34036,12,6096
Arpanet196912_2,814,55760,16,6400
Arpanet196912_3,774,56764,37,6492
Arpanet196912_4,2161,69228,67,7172
Arpanet19706_1,409,55420,22,6360
Arpanet19706_2,843,56532,27,6608
Arpanet19706_3,976,62080,57,6856
Arpanet19706_4,2275,71316,236,8460
Arpanet19719_1,771,37020,36,6120
Arpanet19719_2,732,56148,15,6484
Arpanet19719_3,756,68856,29,6564
Arpanet19719_4,2428,73120,112,7760
Arpanet19723_1,819,41016,14,6360
Arpanet19723_2,826,56488,32,6560
Arpanet19723_3,1009,66948,125,7180
Arpanet19723_4,5313,76160,412,8496
Arpanet19728_1,733,42816,12,6052
Arpanet19728_2,830,56068,17,6520
Arpanet19728_3,1476,67704,57,6592
Arpanet19728_4,3600000,120000000,3600000,120000000
AsnetAm_1,663,40944,12,6360
AsnetAm_2,721,56032,18,6400
AsnetAm_3,905,61988,29,6452
AsnetAm_4,1752,73096,83,7428
Atmnet_1,845,56580,18,6640
Atmnet_2,1211,68980,42,7112
Atmnet_3,4090,74024,165,8232
Atmnet_4,15081,94968,1481,12632
AttMpls_1,655,55456,12,6360
AttMpls_2,648,55888,16,6416
AttMpls_3,965,64896,61,6732
AttMpls_4,13229,86660,1131,11488
Azrena_1,369,30712,17,6164
Azrena_2,479,38684,13,6108
Azrena_3,335,55876,18,6520
Azrena_4,726,71036,286,7604
Bandcon_1,356,55616,14,6428
Bandcon_2,903,56476,14,6460
Bandcon_3,3600000,120000000,3600000,120000000
Bandcon_4,2115,71384,189,7764
Basnet_1,612,26156,10,6164
Basnet_2,744,30772,16,6160
Basnet_3,786,45632,11,6360
Basnet_4,850,59548,23,6592
Bbnplanet_1,771,55824,13,6360
Bbnplanet_2,912,64476,34,6356
Bbnplanet_3,1906,69080,78,7088
Bbnplanet_4,3054,76468,631,9224
Bellcanada_1,748,55992,16,6516
Bellcanada_2,1644,66732,37,6652
Bellcanada_3,8485,84300,260,8604
Bellcanada_4,57532,172928,4280,22356
Bellsouth_1,406,55596,18,6428
Bellsouth_2,527,56620,37,6548
Bellsouth_3,929,62292,67,6980
Bellsouth_4,8055,78216,392,8224
Belnet2003_1,1070,30608,13,6048
Belnet2003_2,1083,31788,13,6164
Belnet2003_3,1063,55716,15,6360
Belnet2003_4,1100,61640,58,6640
Belnet2004_1,979,55564,15,6376
Belnet2004_2,745,59684,27,6464
Belnet2004_3,2045,68812,104,7132
Belnet2004_4,7701,80192,557,8896
Belnet2005_1,1078,56504,15,6596
Belnet2005_2,2593,70960,49,7016
Belnet2005_3,4345,74020,225,8368
Belnet2005_4,17119,95028,793,10492
Belnet2006_3,453,69024,46,6816
Belnet2006_4,2461,71220,104,8096
Belnet2007_2,367,56276,12,6440
Belnet2007_3,1132,71172,54,7132
Belnet2007_4,3668,73940,229,8460
Belnet2008_1,268,55260,9,6360
Belnet2008_2,416,56128,11,6352
Belnet2008_3,768,66724,23,6436
Belnet2008_4,1472,71104,179,7244
Belnet2009_1,341,55444,13,6360
Belnet2009_2,325,56004,19,6532
Belnet2009_3,495,59896,141,7368
Belnet2009_4,1731,71180,263,7792
Belnet2010_1,170,29136,9,6164
Belnet2010_2,370,55444,13,6360
Belnet2010_3,453,56368,30,6500
Belnet2010_4,811,70956,154,7300
BeyondTheNetwork_1,382,44880,10,6164
BeyondTheNetwork_2,292,52560,11,6360
BeyondTheNetwork_3,564,59620,25,6644
BeyondTheNetwork_4,451,59548,31,6480
Bics_1,3600000,120000000,15,6428
Bics_2,313,56912,23,6648
Bics_3,403,64876,116,7180
Bics_4,1601,75192,549,9096
Biznet_1,125,54628,14,6428
Biznet_2,347,59620,40,6432
Biznet_3,375,61420,139,7052
Biznet_4,1081,71128,513,8548
Bren_1,234,56012,15,6360
Bren_2,183,55844,20,6540
Bren_3,573,68816,24,6288
Bren_4,2763,72008,343,8148
BsonetEurope_1,213,55272,11,6360
BsonetEurope_2,350,56200,24,6480
BsonetEurope_3,1117,68900,54,6948
BsonetEurope_4,3267,71188,190,7812
BtAsiaPac_1,193,27860,13,6096
BtAsiaPac_2,163,40820,13,6052
BtAsiaPac_3,185,49020,19,6296
BtAsiaPac_4,531,66760,83,6864
BtEurope_1,387,56804,18,6588
BtEurope_2,1132,69024,59,7116
BtEurope_3,2350,73324,127,8340
BtEurope_4,14655,97044,1695,14636
BtLatinAmerica_1,140,55256,11,6428
BtLatinAmerica_2,152,55836,16,6540
BtLatinAmerica_3,469,62116,43,6968
BtLatinAmerica_4,4397,74216,2938,7900
BtNorthAmerica_1,81,25468,2594,5900
BtNorthAmerica_2,113,53104,2767,6428
BtNorthAmerica_3,140,56056,2654,6544
BtNorthAmerica_4,718,68920,2893,7012
Canerie_1,177,28664,2641,6096
Canerie_2,146,53108,2703,6344
Canerie_3,250,56448,2710,6620
Canerie_4,530,68952,2921,7100
Carnet_1,234,34352,2712,6096
Carnet_2,299,55436,2675,6044
Carnet_3,274,55944,2733,6416
Carnet_4,848,67068,2811,6904
Cernet_1,305,55264,2656,6360
Cernet_2,216,55832,2689,6440
Cernet_3,414,61796,2343,6756
Cernet_4,2840,75984,2657,8556
Cesnet1993_1,179,55628,2332,6360
Cesnet1993_2,467,64496,2387,6416
Cesnet1993_3,882,69000,2887,7572
Cesnet1993_4,2794,73552,3077,8980
Cesnet1997_1,80,27124,2517,6096
Cesnet1997_2,143,55296,13,6360
Cesnet1997_3,231,56344,34,6652
Cesnet1997_4,734,66812,101,7096
Cesnet1999_1,135,25932,17,6164
Cesnet1999_2,169,55204,10,6428
Cesnet1999_3,213,56004,21,6500
Cesnet1999_4,608,68792,69,6708
Cesnet2001_1,149,46028,11,6428
Cesnet2001_2,272,56056,29,6532
Cesnet2001_3,333,63072,64,6488
Cesnet2001_4,2446,71816,159,7696
Cesnet200304_1,80,45488,20,6040
Cesnet200304_2,189,55708,28,6436
Cesnet200304_3,315,59576,27,6504
Cesnet200304_4,1934,68996,364,8148
Cesnet200511_1,220,40276,12,6428
Cesnet200511_2,178,55892,14,6476
Cesnet200511_3,304,59944,23,6436
Cesnet200511_4,873,71280,73,7380
Cesnet200603_1,233,56008,12,6360
Cesnet200603_2,141,55732,18,6568
Cesnet200603_3,660,69172,281,7736
Cesnet200603_4,1248,71224,478,8516
Cesnet200706_1,211,55668,10,6360
Cesnet200706_2,135,55808,35,6428
Cesnet200706_3,749,66856,49,6952
Cesnet200706_4,2218,75904,1570,8544
Cesnet201006_1,336,56376,22,6640
Cesnet201006_2,3600000,120000000,4832,55380
Cesnet201006_3,3069,74104,1476,8688
Cesnet201006_4,7876,96584,1569,9196
Chinanet_1,202,55464,684,6320
Chinanet_2,305,55796,674,6488
Chinanet_3,389,60068,1102,6372
Chinanet_4,2840,76076,2409,10568
Claranet_1,284,38040,616,6120
Claranet_2,323,55708,1029,6412
Claranet_3,390,57040,2306,6592
Claranet_4,1831,71308,1253,7484
Cogentco_1,364,56984,1021,6528
Cogentco_2,952,70936,1067,6936
Cogentco_3,2534,73248,1503,8812
Cogentco_4,39133,123544,5237,25996
Colt_1,120,37920,794,6044
Colt_2,240,56380,990,6468
Colt_3,914,66916,1031,6368
Colt_4,4600,78572,3582,15916
Columbus_1,153,55436,983,6360
Columbus_2,205,55744,988,6452
Columbus_3,3600000,120000000,3600000,120000000
