#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
Shared_5_100,6317,65476,56,6672
Shared_5_1000,3600000,120000000,37933,164740
Shared_5_120,11518,69424,82,6836
Shared_5_140,21291,75708,125,6976
Shared_5_160,44495,79804,201,7196
Shared_5_180,62095,86252,236,7688
Shared_5_200,96421,96268,311,7884
Shared_5_220,153993,106528,415,8420
Shared_5_240,209058,118952,515,8780
Shared_5_260,295089,135232,662,9320
Shared_5_280,416055,186528,831,10052
Shared_5_300,538208,213316,994,10492
Shared_5_320,695427,317740,1208,11468
Shared_5_340,932826,317844,1453,12432
Shared_5_360,1141204,317936,1677,13324
Shared_5_380,1441624,495712,2006,14308
Shared_5_400,1844782,583164,2319,15760
Shared_5_420,2188102,583436,2696,17528
Shared_5_440,2633052,582388,3148,19304
Shared_5_460,3282077,582592,3608,21348
Shared_5_480,3600000,120000000,4093,22904
Shared_5_500,3600000,120000000,4603,26628
Shared_5_520,3600000,120000000,5071,27896
Shared_5_540,3600000,120000000,5579,28928
Shared_5_560,3600000,120000000,6426,30244
Shared_5_580,3600000,120000000,7064,31508
Shared_5_600,3600000,120000000,7664,31304
Shared_5_620,3600000,120000000,8461,32412
Shared_5_640,3600000,120000000,9542,34392
Shared_5_660,3600000,120000000,10276,36380
Shared_5_680,3600000,120000000,11272,38724
Shared_5_700,3600000,120000000,12409,44160
Shared_5_720,3600000,120000000,13361,46528
Shared_5_740,3600000,120000000,14514,49300
Shared_5_760,3600000,120000000,15634,52116
Shared_5_780,3600000,120000000,17552,73584
Shared_5_800,3600000,120000000,18895,79884
Shared_5_820,3600000,120000000,19815,85772
Shared_5_840,3600000,120000000,21074,91624
Shared_5_860,3600000,120000000,23408,101680
Shared_5_880,3600000,120000000,24834,109708
Shared_5_900,3600000,120000000,26387,115984
Shared_5_920,3600000,120000000,28194,124944
Shared_5_940,3600000,120000000,30318,133352
Shared_5_960,3600000,120000000,31884,141300
Shared_5_980,3600000,120000000,34281,154296
