#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
Shared_100_200,24797,92192,625,7952
Shared_110_220,36964,104316,406,8416
Shared_120_240,48942,115004,503,8852
Shared_130_260,68965,131284,654,9252
Shared_140_280,94264,176512,806,10056
Shared_150_300,122846,202860,959,10420
Shared_160_320,161123,317920,1196,11468
Shared_170_340,193287,317808,1414,12364
Shared_180_360,256275,317880,1641,13252
Shared_190_380,318391,582308,1925,14236
Shared_200_400,395526,582244,2265,15820
Shared_210_420,475506,582372,2560,17332
Shared_220_440,562044,582272,3012,19264
Shared_230_460,733929,582308,3374,21084
Shared_240_480,764902,844208,3803,22432
Shared_250_500,910336,844476,4354,27032
Shared_260_520,1064293,846344,4889,27468
Shared_270_540,1266749,1110532,5406,28704
Shared_280_560,1507786,1110892,6041,29852
Shared_290_580,1690522,1110924,6720,31548
Shared_300_600,2003458,1372660,7324,31484
Shared_310_620,2276666,1373152,8197,32320
Shared_320_640,2569900,1635032,8998,34404
Shared_330_660,2918771,1637168,9697,36144
Shared_340_680,3411090,1898988,10694,38432
Shared_350_700,3600000,120000000,11663,44292
Shared_360_720,3600000,120000000,12624,46460
Shared_370_740,3600000,120000000,13753,49104
Shared_380_760,3600000,120000000,14995,52004
Shared_390_780,3600000,120000000,16827,73564
Shared_400_800,3600000,120000000,18409,79764
Shared_410_820,3600000,120000000,20152,85776
Shared_420_840,3600000,120000000,21913,91556
Shared_430_860,3600000,120000000,22773,101632
Shared_440_880,3600000,120000000,24789,109580
Shared_450_900,3600000,120000000,26237,115896
Shared_460_920,3600000,120000000,28351,124888
Shared_470_940,3600000,120000000,30661,133272
Shared_480_960,3600000,120000000,31913,141192
Shared_490_980,3600000,120000000,34756,154164
Shared_500_1000,3600000,120000000,36868,164668
Shared_50_100,2025,65356,52,6672
Shared_60_120,3685,67316,83,6772
Shared_70_140,6873,71568,135,7044
Shared_80_160,11898,78044,175,7388
Shared_90_180,15650,84012,231,7424
