#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
Aarnet_1,295,26464,8,5948
Aarnet_2,232,40516,8,6160
Aarnet_3,368,47800,10,6476
Aarnet_4,485,56596,36,6672
Abilene_1,262,24236,6,6212
Abilene_2,381,27856,7,6212
Abilene_3,346,47164,10,6476
Abilene_4,298,55884,16,6624
Abvt_1,259,23816,6,5948
Abvt_2,416,31460,7,6152
Abvt_3,438,39824,9,6472
Abvt_4,522,59820,52,6952
Aconet_1,416,24912,6,5948
Aconet_2,308,24764,7,6212
Aconet_3,445,33612,7,6212
Aconet_4,386,55824,16,6580
Agis_1,295,24776,6,6212
Agis_2,456,35812,8,6168
Agis_3,422,55432,8,6476
Agis_4,509,56468,13,6664
Airtel_1,307,23696,6,5948
Airtel_2,388,25192,6,6212
Airtel_3,336,31096,7,6212
Airtel_4,390,36768,9,6476
Ans_1,271,26928,7,6100
Ans_2,236,25812,6,6096
Ans_3,293,46936,9,6476
Ans_4,377,56300,13,6664
Arnes_1,248,27680,6,6096
Arnes_2,381,29784,7,6148
Arnes_3,293,55792,12,6508
Arnes_4,389,55916,12,6484
Arpanet196912_1,365,24688,6,5948
Arpanet196912_2,321,23880,7,5944
Arpanet196912_3,589,24876,7,6212
Arpanet196912_4,621,29224,9,6168
Arpanet19706_1,608,24300,6,5948
Arpanet19706_2,711,25388,7,6212
Arpanet19706_3,864,32640,9,6168
Arpanet19706_4,454,36836,10,6476
Arpanet19719_1,764,25052,7,6096
Arpanet19719_2,407,28712,7,6212
Arpanet19719_3,218,33600,8,6160
Arpanet19719_4,375,56524,23,6768
Arpanet19723_1,333,27080,6,6212
Arpanet19723_2,334,36764,7,6164
Arpanet19723_3,357,55860,10,6524
Arpanet19723_4,465,59792,45,6944
Arpanet19728_1,210,26236,6,6212
Arpanet19728_2,162,37416,9,6476
Arpanet19728_3,3600000,120000000,50213,838872
Arpanet19728_4,486,62316,101,7328
AsnetAm_1,63,24008,7,5948
AsnetAm_2,122,28544,7,6212
AsnetAm_3,95,43772,9,6476
AsnetAm_4,240,56604,37,6672
Atmnet_1,75,26080,7,6212
Atmnet_2,82,30352,6,6212
Atmnet_3,142,55736,13,6556
Atmnet_4,390,61820,50,6944
AttMpls_1,64,24980,7,6100
AttMpls_2,77,26920,6,6092
AttMpls_3,93,39072,9,6476
AttMpls_4,169,55740,19,6624
Bandcon_1,108,25864,6,6212
Bandcon_2,118,33276,7,6212
Bandcon_3,120,57548,9,6444
Bandcon_4,206,55728,18,6624
Bbnplanet_1,152,26336,6,5948
Bbnplanet_2,127,26684,6,6212
Bbnplanet_3,95,40104,10,6476
Bbnplanet_4,254,56212,13,6612
Bellcanada_1,59,30312,7,6212
Bellcanada_2,156,36216,9,6476
Bellcanada_3,301,56736,20,6428
Bellcanada_4,562,69008,22,6528
Bellsouth_1,58,25164,6,5948
Bellsouth_2,68,28668,7,6212
Bellsouth_3,83,36760,7,6168
Bellsouth_4,202,56232,13,6528
Belnet2003_1,58,23792,6,5948
Belnet2003_2,115,25036,6,6212
Belnet2003_3,101,26796,7,6212
Belnet2003_4,78,40512,8,6476
Belnet2004_1,55,24404,6,5948
Belnet2004_2,85,26240,6,6212
Belnet2004_3,64,30680,7,6212
Belnet2004_4,108,49736,19,6588
Belnet2005_1,63,25056,6,5948
Belnet2005_2,79,25676,6,6212
Belnet2005_3,77,32180,8,6164
Belnet2005_4,84,34980,10,6476
Belnet2006_1,159,24344,6,5948
Belnet2006_2,132,25740,6,6212
Belnet2006_3,150,29488,8,6172
Belnet2006_4,112,36480,9,6476
Belnet2007_1,81,25240,6,6100
Belnet2007_2,66,28176,7,6152
Belnet2007_3,100,44432,7,6476
Belnet2007_4,172,56028,13,6568
Belnet2008_1,69,25264,6,6100
Belnet2008_2,133,29992,7,6212
Belnet2008_3,165,46676,8,6476
Belnet2008_4,171,56432,40,6724
Belnet2009_1,123,25288,6,5944
Belnet2009_2,79,31860,8,6156
Belnet2009_3,114,55752,11,6508
Belnet2009_4,49,25416,6,6212
Belnet2010_1,91,26844,7,5948
Belnet2010_2,63,28152,7,6212
Belnet2010_3,83,30468,8,6476
Belnet2010_4,144,55752,13,6568
BeyondTheNetwork_1,75,25092,6,6212
BeyondTheNetwork_2,93,29696,7,6208
BeyondTheNetwork_3,124,52716,13,6472
BeyondTheNetwork_4,139,56080,14,6664
Bics_1,56,27224,6,6212
Bics_2,70,34252,8,6212
Bics_3,186,55732,13,6488
Bics_4,251,55816,14,6528
Biznet_1,175,36792,8,6212
Biznet_2,164,55388,9,6472
Biznet_3,153,56184,18,6744
Biznet_4,1169,69032,192,7708
Bren_1,119,26704,7,6084
Bren_2,124,35904,8,6148
Bren_3,134,55628,9,6440
Bren_4,331,59532,27,6664
BsonetEurope_1,68,23852,6,5948
BsonetEurope_2,80,26340,6,6096
BsonetEurope_3,85,32456,7,6152
BsonetEurope_4,90,41856,12,6484
BtAsiaPac_1,104,23788,7,5948
BtAsiaPac_2,67,26588,7,6212
BtAsiaPac_3,84,28756,7,6208
BtAsiaPac_4,175,55644,11,6444
BtEurope_1,169,24620,7,5944
BtEurope_2,122,25568,7,6212
BtEurope_3,119,45860,9,6476
BtEurope_4,106,43984,13,6496
BtLatinAmerica_1,176,35312,7,6208
BtLatinAmerica_2,123,36912,7,6212
BtLatinAmerica_3,129,47076,9,6476
BtLatinAmerica_4,169,56724,31,6620
BtNorthAmerica_1,99,26388,7,6096
BtNorthAmerica_2,82,25816,7,6212
BtNorthAmerica_3,140,54544,12,6472
BtNorthAmerica_4,224,56428,29,6584
Canerie_1,78,25352,7,6208
Canerie_2,128,34020,8,6152
Canerie_3,113,55492,13,6424
Canerie_4,305,57148,25,6620
Cernet_1,75,24440,6,6092
Cernet_2,64,27536,7,6208
Cernet_3,94,38820,10,6476
Cernet_4,137,55712,25,6716
Cesnet2001_1,102,24468,6,5948
Cesnet2001_2,66,26164,7,6212
Cesnet2001_3,86,27704,7,6212
Cesnet2001_4,126,47020,11,6476
Cesnet200304_1,86,24708,7,5948
Cesnet200304_2,109,32164,7,6212
Cesnet200304_3,79,42400,7,6152
Cesnet200304_4,164,55908,19,6620
Cesnet200511_1,77,25956,6,5948
Cesnet200511_2,73,29476,7,6212
Cesnet200511_3,89,36472,10,6476
Cesnet200511_4,103,50556,14,6484
Cesnet200603_1,59,25184,6,5948
Cesnet200603_2,102,31020,6,6212
Cesnet200603_3,102,32468,8,6164
Cesnet200603_4,118,52232,12,6484
Cesnet200706_1,71,23896,6,6208
Cesnet200706_2,77,27908,7,6212
Cesnet200706_3,102,37340,8,6168
Cesnet200706_4,115,55680,12,6484
Cesnet201006_1,112,25176,6,6212
